X 	 Y 	 E 
0 	 0 	 0.0 
0 	 1 	 0.0 
0 	 2 	 0.0 
0 	 3 	 0.0 
0 	 4 	 0.0 
0 	 5 	 0.0 
0 	 6 	 0.0 
0 	 7 	 0.0 
0 	 8 	 0.0 
0 	 9 	 0.0 
0 	 10 	 0.0 
0 	 11 	 0.0 
0 	 12 	 0.0 
0 	 13 	 0.0 
0 	 14 	 0.0 
0 	 15 	 0.0 
0 	 16 	 0.0 
0 	 17 	 0.0 
0 	 18 	 0.0 
0 	 19 	 0.0 
0 	 20 	 0.0 
0 	 21 	 0.0 
0 	 22 	 0.0 
0 	 23 	 0.0 
0 	 24 	 0.0 
0 	 25 	 0.0 
0 	 26 	 0.0 
0 	 27 	 0.0 
0 	 28 	 0.0 
0 	 29 	 0.0 
0 	 30 	 0.0 
0 	 31 	 0.0 
0 	 32 	 0.0 
0 	 33 	 0.0 
0 	 34 	 0.0 
0 	 35 	 0.0 
0 	 36 	 0.0 
0 	 37 	 0.0 
0 	 38 	 0.0 
0 	 39 	 0.0 
0 	 40 	 0.0 
0 	 41 	 0.0 
0 	 42 	 0.0 
0 	 43 	 0.0 
0 	 44 	 0.0 
0 	 45 	 0.0 
0 	 46 	 0.0 
0 	 47 	 0.0 
0 	 48 	 0.0 
0 	 49 	 0.0 
0 	 50 	 0.0 
0 	 51 	 0.0 
0 	 52 	 0.0 
0 	 53 	 0.0 
0 	 54 	 0.0 
0 	 55 	 0.0 
0 	 56 	 0.0 
0 	 57 	 0.0 
0 	 58 	 0.0 
0 	 59 	 0.0 
0 	 60 	 0.0 
0 	 61 	 0.0 
0 	 62 	 0.0 
0 	 63 	 0.0 
0 	 64 	 0.0 
0 	 65 	 0.0 
0 	 66 	 0.0 
0 	 67 	 0.0 
0 	 68 	 0.0 
0 	 69 	 0.0 
0 	 70 	 0.0 
0 	 71 	 0.0 
0 	 72 	 0.0 
0 	 73 	 0.0 
0 	 74 	 0.0 
0 	 75 	 0.0 
0 	 76 	 0.0 
0 	 77 	 0.0 
0 	 78 	 0.0 
0 	 79 	 0.0 
0 	 80 	 0.0 
0 	 81 	 0.0 
0 	 82 	 0.0 
0 	 83 	 0.0 
0 	 84 	 0.0 
0 	 85 	 0.0 
0 	 86 	 0.0 
0 	 87 	 0.0 
0 	 88 	 0.0 
0 	 89 	 0.0 
0 	 90 	 0.0 
0 	 91 	 0.0 
0 	 92 	 0.0 
0 	 93 	 0.0 
0 	 94 	 0.0 
0 	 95 	 0.0 
0 	 96 	 0.0 
1 	 0 	 0.0 
1 	 1 	 0.9961626776872446 
1 	 2 	 0.4367730226512418 
1 	 3 	 0.40744860325530374 
1 	 4 	 0.5641132968631823 
1 	 5 	 1.0263327649325262 
1 	 6 	 2.0659611179038935 
1 	 7 	 3.3768535969008306 
1 	 8 	 3.4094365563657547 
1 	 9 	 2.103501001553335 
1 	 10 	 1.1131256024964404 
1 	 11 	 0.9701784753037839 
1 	 12 	 2.828882473459091 
1 	 13 	 3.1730737773052655 
1 	 14 	 1.9635222185305714 
1 	 15 	 1.2101687194996287 
1 	 16 	 0.5106182538909756 
1 	 17 	 0.36586786895011186 
1 	 18 	 0.48393238135980066 
1 	 19 	 0.4725581377551178 
1 	 20 	 0.3906006673171734 
1 	 21 	 0.29614756524536906 
1 	 22 	 0.2639782760048344 
1 	 23 	 0.22358829563926885 
1 	 24 	 0.3933245623174264 
1 	 25 	 0.29105159630077065 
1 	 26 	 0.307109379055864 
1 	 27 	 0.9770316624072192 
1 	 28 	 2.6881554021727037 
1 	 29 	 2.163459642071646 
1 	 30 	 1.7140619805758477 
1 	 31 	 4.375 
1 	 32 	 2.787612027233308 
1 	 33 	 4.375 
1 	 34 	 1.6533894131498252 
1 	 35 	 1.5951082495451918 
1 	 36 	 1.4410512417532666 
1 	 37 	 2.656987608423782 
1 	 38 	 2.9495951651703063 
1 	 39 	 2.458970251260349 
1 	 40 	 4.318263029860732 
1 	 41 	 4.5252539427284875 
1 	 42 	 4.583426633293502 
1 	 43 	 2.9356194377188674 
1 	 44 	 3.047506022052055 
1 	 45 	 2.864630034994923 
1 	 46 	 1.6790638562261442 
1 	 47 	 0.9722650583321061 
1 	 48 	 0.4602653972277451 
1 	 49 	 0.23877356032846114 
1 	 50 	 0.26822572163502456 
1 	 51 	 0.25795407395679537 
1 	 52 	 0.2372838349428318 
1 	 53 	 0.3432815147554394 
1 	 54 	 0.27488067593780013 
1 	 55 	 0.31847470197262107 
1 	 56 	 0.2088138546350577 
1 	 57 	 0.2980167555891874 
1 	 58 	 0.31495645248193876 
1 	 59 	 1.6117148206199252 
1 	 60 	 3.559603793841797 
1 	 61 	 2.732828123895157 
1 	 62 	 2.4415837767707567 
1 	 63 	 3.3529473093681186 
1 	 64 	 3.567011636906741 
1 	 65 	 2.776761487546565 
1 	 66 	 1.689311959800263 
1 	 67 	 0.9054801066119705 
1 	 68 	 0.8007349621997855 
1 	 69 	 0.2192956429762401 
1 	 70 	 0.3326161202304852 
1 	 71 	 0.26730814148433674 
1 	 72 	 0.8142341408170258 
1 	 73 	 4.462345796102704 
1 	 74 	 2.1341139973620704 
1 	 75 	 2.6847951124988083 
1 	 76 	 2.861337391721226 
1 	 77 	 2.2355102488257486 
1 	 78 	 1.746427367682013 
1 	 79 	 2.979532028700031 
1 	 80 	 4.465157757698814 
1 	 81 	 4.064529761778204 
1 	 82 	 4.375 
1 	 83 	 2.767397920649978 
1 	 84 	 3.9154836182027433 
1 	 85 	 1.3228755014011817 
1 	 86 	 0.7807511427573017 
1 	 87 	 0.4973719487888627 
1 	 88 	 0.5971372662797404 
1 	 89 	 0.4920533321245145 
1 	 90 	 0.47656855277284116 
1 	 91 	 0.33484963868174206 
1 	 92 	 0.3955439684166349 
1 	 93 	 0.16480719977338992 
1 	 94 	 0.12221377896799085 
1 	 95 	 0.17616145313544257 
1 	 96 	 0.0 
2 	 0 	 0.0 
2 	 1 	 2.1650797051318857 
2 	 2 	 1.0070542684206831 
2 	 3 	 1.6443506063601476 
2 	 4 	 1.709760512218693 
2 	 5 	 2.7659700168492973 
2 	 6 	 4.416121519755342 
2 	 7 	 2.6364235217837497 
2 	 8 	 1.6364619932189841 
2 	 9 	 0.9478909160245603 
2 	 10 	 0.5007018214134494 
2 	 11 	 0.6432808401508134 
2 	 12 	 1.588316010875058 
2 	 13 	 3.904550442854659 
2 	 14 	 3.4648462839429026 
2 	 15 	 2.217856982188941 
2 	 16 	 1.2694255836045572 
2 	 17 	 0.7966282227955792 
2 	 18 	 0.7884635537180396 
2 	 19 	 0.44738312263905083 
2 	 20 	 0.4211248493649654 
2 	 21 	 0.5857334030488612 
2 	 22 	 0.3269978018218037 
2 	 23 	 0.29191453044842125 
2 	 24 	 0.28628964217315567 
2 	 25 	 0.2250905909903014 
2 	 26 	 0.2633245767315277 
2 	 27 	 0.46122146095380245 
2 	 28 	 2.150010717869549 
2 	 29 	 2.34547041085401 
2 	 30 	 1.3586259608191065 
2 	 31 	 1.0214512616140579 
2 	 32 	 2.1360924962110466 
2 	 33 	 4.375 
2 	 34 	 2.115090670461013 
2 	 35 	 1.4969163111826869 
2 	 36 	 3.8498467012975404 
2 	 37 	 3.380418859278872 
2 	 38 	 2.6921562561626766 
2 	 39 	 2.805815017856754 
2 	 40 	 4.184036608001476 
2 	 41 	 3.2755997814721782 
2 	 42 	 2.808259952399602 
2 	 43 	 1.2303771847687728 
2 	 44 	 1.133873662207334 
2 	 45 	 1.5823688393270734 
2 	 46 	 3.309207620058898 
2 	 47 	 1.5854249635861348 
2 	 48 	 0.44213405354417595 
