X	Y	theta 
0.0	0.0	0.0 
0.0	2.0	0.0 
0.0	4.0	0.0 
0.0	6.0	0.0 
0.0	8.0	0.0 
0.0	10.0	0.0 
0.0	12.0	0.0 
0.0	14.0	0.0 
0.0	16.0	0.0 
0.0	18.0	0.0 
0.0	20.0	0.0 
0.0	22.0	0.0 
0.0	24.0	0.0 
0.0	26.0	0.0 
0.0	28.0	0.0 
0.0	30.0	0.0 
0.0	32.0	0.0 
0.0	34.0	0.0 
0.0	36.0	0.0 
0.0	38.0	0.0 
0.0	40.0	0.0 
0.0	42.0	0.0 
0.0	44.0	0.0 
0.0	46.0	0.0 
0.0	48.0	0.0 
0.0	50.0	0.0 
0.0	52.0	0.0 
0.0	54.0	0.0 
0.0	56.0	0.0 
0.0	58.0	0.0 
0.0	60.0	0.0 
0.0	62.0	0.0 
0.0	64.0	0.0 
0.0	66.0	0.0 
0.0	68.0	0.0 
0.0	70.0	0.0 
0.0	72.0	0.0 
0.0	74.0	0.0 
0.0	76.0	0.0 
0.0	78.0	0.0 
0.0	80.0	0.0 
0.0	82.0	0.0 
0.0	84.0	0.0 
0.0	86.0	0.0 
0.0	88.0	0.0 
0.0	90.0	0.0 
0.0	92.0	0.0 
0.0	94.0	0.0 
0.0	96.0	0.0 
0.0	98.0	0.0 
0.0	100.0	0.0 
0.0	102.0	0.0 
0.0	104.0	0.0 
0.0	106.0	0.0 
0.0	108.0	0.0 
0.0	110.0	0.0 
0.0	112.0	0.0 
0.0	114.0	0.0 
0.0	116.0	0.0 
0.0	118.0	0.0 
0.0	120.0	0.0 
0.0	122.0	0.0 
0.0	124.0	0.0 
0.0	126.0	0.0 
0.0	128.0	0.0 
0.0	130.0	0.0 
0.0	132.0	0.0 
0.0	134.0	0.0 
0.0	136.0	0.0 
0.0	138.0	0.0 
0.0	140.0	0.0 
0.0	142.0	0.0 
0.0	144.0	0.0 
0.0	146.0	0.0 
0.0	148.0	0.0 
0.0	150.0	0.0 
0.0	152.0	0.0 
0.0	154.0	0.0 
0.0	156.0	0.0 
0.0	158.0	0.0 
0.0	160.0	0.0 
0.0	162.0	0.0 
0.0	164.0	0.0 
0.0	166.0	0.0 
0.0	168.0	0.0 
0.0	170.0	0.0 
0.0	172.0	0.0 
0.0	174.0	0.0 
0.0	176.0	0.0 
0.0	178.0	0.0 
0.0	180.0	0.0 
0.0	182.0	0.0 
0.0	184.0	0.0 
0.0	186.0	0.0 
0.0	188.0	0.0 
0.0	190.0	0.0 
0.0	192.0	0.0 
2.0	0.0	0.0 
2.0	2.0	5.2436383689076544 
2.0	4.0	0.2852127877865912 
2.0	6.0	0.18231856424874585 
2.0	8.0	0.30152146305393934 
2.0	10.0	0.26272847604338884 
2.0	12.0	5.108325784395809 
2.0	14.0	0.0 
2.0	16.0	0.0 
2.0	18.0	1.6701734288261594 
2.0	20.0	0.31854129904720446 
2.0	22.0	5.768747548917988 
2.0	24.0	23.570201241985643 
2.0	26.0	18.422444586364733 
2.0	28.0	7.323684920735562 
2.0	30.0	3.738671402193934 
2.0	32.0	0.3344740994500519 
2.0	34.0	0.23081538090574671 
2.0	36.0	0.3017859307157854 
2.0	38.0	0.28950413728762037 
2.0	40.0	0.2395347139633669 
2.0	42.0	0.18144251215044618 
2.0	44.0	0.16547543731127357 
2.0	46.0	0.12821915656659394 
2.0	48.0	0.23410034398395088 
2.0	50.0	0.18627345862261097 
2.0	52.0	0.17803470655517076 
2.0	54.0	5.862264837992135 
2.0	56.0	17.059693317554284 
2.0	58.0	0.0 
2.0	60.0	7.3767980657341825 
2.0	62.0	21.674051068721234 
2.0	64.0	14.536848875427273 
2.0	66.0	25.31606799732172 
2.0	68.0	7.495172706771149 
2.0	70.0	7.461642590907066 
2.0	72.0	7.397298329761031 
2.0	74.0	14.620466137963195 
2.0	76.0	14.866652816183592 
2.0	78.0	8.902336612996962 
2.0	80.0	14.48640991629043 
2.0	82.0	14.8538162709778 
2.0	84.0	19.39047561281955 
2.0	86.0	13.087630514621237 
2.0	88.0	21.321466386635045 
2.0	90.0	15.649205740633024 
2.0	92.0	5.427195146148004 
2.0	94.0	0.2269644092894471 
2.0	96.0	0.28088857807013906 
2.0	98.0	0.14678027593131476 
2.0	100.0	0.1568746634525672 
2.0	102.0	0.14566289626697876 
2.0	104.0	0.1485233948281572 
