phi1,phi,phi2,X,Y,IQ
0.3691,1.3971,3.16785,2.0,29.0,60
0.3691,1.3971,3.16785,2.0,30.0,60
0.3691,1.3971,3.16785,2.0,31.0,60
0.3691,1.3971,3.16785,2.0,32.0,60
0.3691,1.3971,3.16785,2.0,33.0,60
0.3691,1.3971,3.16785,2.0,34.0,60
0.3691,1.3971,3.16785,2.0,35.0,60
0.3691,1.3971,3.16785,2.0,36.0,60
0.3691,1.3971,3.16785,2.0,37.0,60
0.3691,1.3971,3.16785,2.0,38.0,60
0.3691,1.3971,3.16785,2.0,39.0,60
0.3691,1.3971,3.16785,2.0,40.0,60
0.3691,1.3971,3.16785,3.0,0.0,60
3.20856,3.0361,3.52897,3.0,1.0,60
3.20856,3.0361,3.52897,3.0,2.0,60
3.20856,3.0361,3.52897,3.0,3.0,60
3.20856,3.0361,3.52897,3.0,4.0,60
3.20856,3.0361,3.52897,3.0,5.0,60
3.20856,3.0361,3.52897,3.0,6.0,60
3.20856,3.0361,3.52897,3.0,7.0,60
3.20856,3.0361,3.52897,3.0,8.0,60
3.20856,3.0361,3.52897,3.0,9.0,60
3.20856,3.0361,3.52897,3.0,10.0,60
3.20856,3.0361,3.52897,3.0,11.0,60
3.20856,3.0361,3.52897,3.0,12.0,60
3.20856,3.0361,3.52897,3.0,13.0,60
3.20856,3.0361,3.52897,3.0,14.0,60
3.20856,3.0361,3.52897,3.0,15.0,60
3.20856,3.0361,3.52897,3.0,16.0,60
3.20856,3.0361,3.52897,3.0,17.0,60
3.20856,3.0361,3.52897,3.0,18.0,60
3.20856,3.0361,3.52897,3.0,19.0,60
3.20856,3.0361,3.52897,3.0,20.0,60
3.20856,3.0361,3.52897,3.0,21.0,60
0.44925,0.54098,2.15558,3.0,22.0,60
0.44925,0.54098,2.15558,3.0,23.0,60
0.44925,0.54098,2.15558,3.0,24.0,60
0.44925,0.54098,2.15558,3.0,25.0,60
0.44925,0.54098,2.15558,3.0,26.0,60
0.3691,1.3971,3.16785,3.0,27.0,60
0.3691,1.3971,3.16785,3.0,28.0,60
0.3691,1.3971,3.16785,3.0,29.0,60
0.3691,1.3971,3.16785,3.0,30.0,60
0.3691,1.3971,3.16785,3.0,31.0,60
0.3691,1.3971,3.16785,3.0,32.0,60
0.3691,1.3971,3.16785,3.0,33.0,60
0.3691,1.3971,3.16785,3.0,34.0,60
0.3691,1.3971,3.16785,3.0,35.0,60
0.3691,1.3971,3.16785,3.0,36.0,60
0.3691,1.3971,3.16785,3.0,37.0,60
0.3691,1.3971,3.16785,3.0,38.0,60
0.3691,1.3971,3.16785,3.0,39.0,60
0.3691,1.3971,3.16785,3.0,40.0,60
0.3691,1.3971,3.16785,4.0,0.0,60
0.3691,1.3971,3.16785,4.0,1.0,60
0.3691,1.3971,3.16785,4.0,2.0,60
0.3691,1.3971,3.16785,4.0,3.0,60
3.20856,3.0361,3.52897,4.0,4.0,60
3.20856,3.0361,3.52897,4.0,5.0,60
3.20856,3.0361,3.52897,4.0,6.0,60
3.20856,3.0361,3.52897,4.0,7.0,60
3.20856,3.0361,3.52897,4.0,8.0,60
3.20856,3.0361,3.52897,4.0,9.0,60
3.20856,3.0361,3.52897,4.0,10.0,60
3.20856,3.0361,3.52897,4.0,11.0,60
3.20856,3.0361,3.52897,4.0,12.0,60
3.20856,3.0361,3.52897,4.0,13.0,60
3.20856,3.0361,3.52897,4.0,14.0,60
3.20856,3.0361,3.52897,4.0,15.0,60
3.20856,3.0361,3.52897,4.0,16.0,60
3.20856,3.0361,3.52897,4.0,17.0,60
3.20856,3.0361,3.52897,4.0,18.0,60
3.20856,3.0361,3.52897,4.0,19.0,60
0.44925,0.54098,2.15558,4.0,20.0,60
0.44925,0.54098,2.15558,4.0,21.0,60
0.44925,0.54098,2.15558,4.0,22.0,60
0.44925,0.54098,2.15558,4.0,23.0,60
0.44925,0.54098,2.15558,4.0,24.0,60
0.44925,0.54098,2.15558,4.0,25.0,60
0.44925,0.54098,2.15558,4.0,26.0,60
0.44925,0.54098,2.15558,4.0,27.0,60
0.3691,1.3971,3.16785,4.0,28.0,60
0.3691,1.3971,3.16785,4.0,29.0,60
0.3691,1.3971,3.16785,4.0,30.0,60
0.3691,1.3971,3.16785,4.0,31.0,60
0.3691,1.3971,3.16785,4.0,32.0,60
0.3691,1.3971,3.16785,4.0,33.0,60
0.3691,1.3971,3.16785,4.0,34.0,60
0.3691,1.3971,3.16785,4.0,35.0,60
0.3691,1.3971,3.16785,4.0,36.0,60
0.3691,1.3971,3.16785,4.0,37.0,60
0.3691,1.3971,3.16785,4.0,38.0,60
0.3691,1.3971,3.16785,4.0,39.0,60
0.3691,1.3971,3.16785,4.0,40.0,60
0.3691,1.3971,3.16785,5.0,0.0,60
0.3691,1.3971,3.16785,5.0,1.0,60
0.3691,1.3971,3.16785,5.0,2.0,60
0.3691,1.3971,3.16785,5.0,3.0,60
0.3691,1.3971,3.16785,5.0,4.0,60
3.20856,3.0361,3.52897,5.0,5.0,60
3.20856,3.0361,3.52897,5.0,6.0,60
3.20856,3.0361,3.52897,5.0,7.0,60
3.20856,3.0361,3.52897,5.0,8.0,60
3.20856,3.0361,3.52897,5.0,9.0,60
3.20856,3.0361,3.52897,5.0,10.0,60
3.20856,3.0361,3.52897,5.0,11.0,60
3.20856,3.0361,3.52897,5.0,12.0,60
3.20856,3.0361,3.52897,5.0,13.0,60
3.20856,3.0361,3.52897,5.0,14.0,60
3.20856,3.0361,3.52897,5.0,15.0,60
3.20856,3.0361,3.52897,5.0,16.0,60
3.20856,3.0361,3.52897,5.0,17.0,60
3.20856,3.0361,3.52897,5.0,18.0,60
0.44925,0.54098,2.15558,5.0,19.0,60
0.44925,0.54098,2.15558,5.0,20.0,60
0.44925,0.54098,2.15558,5.0,21.0,60
0.44925,0.54098,2.15558,5.0,22.0,60
0.44925,0.54098,2.15558,5.0,23.0,60
0.44925,0.54098,2.15558,5.0,24.0,60
0.44925,0.54098,2.15558,5.0,25.0,60
0.44925,0.54098,2.15558,5.0,26.0,60
0.44925,0.54098,2.15558,5.0,27.0,60
0.44925,0.54098,2.15558,5.0,28.0,60
3.59759,1.93974,4.49808,5.0,29.0,60
0.3691,1.3971,3.16785,5.0,30.0,60
3.59759,1.93974,4.49808,5.0,31.0,60
0.3691,1.3971,3.16785,5.0,32.0,60
0.3691,1.3971,3.16785,5.0,33.0,60
0.3691,1.3971,3.16785,5.0,34.0,60
0.3691,1.3971,3.16785,5.0,35.0,60
0.3691,1.3971,3.16785,5.0,36.0,60
0.3691,1.3971,3.16785,5.0,37.0,60
0.3691,1.3971,3.16785,5.0,38.0,60
0.3691,1.3971,3.16785,5.0,39.0,60
0.3691,1.3971,3.16785,5.0,40.0,60
0.3691,1.3971,3.16785,6.0,0.0,60
0.3691,1.3971,3.16785,6.0,1.0,60
0.3691,1.3971,3.16785,6.0,2.0,60
0.3691,1.3971,3.16785,6.0,3.0,60
0.3691,1.3971,3.16785,6.0,4.0,60
0.3691,1.3971,3.16785,6.0,5.0,60
3.20856,3.0361,3.52897,6.0,6.0,60
3.20856,3.0361,3.52897,6.0,7.0,60
3.20856,3.0361,3.52897,6.0,8.0,60
3.20856,3.0361,3.52897,6.0,9.0,60
3.20856,3.0361,3.52897,6.0,10.0,60
3.20856,3.0361,3.52897,6.0,11.0,60
3.20856,3.0361,3.52897,6.0,12.0,60
3.20856,3.0361,3.52897,6.0,13.0,60
3.20856,3.0361,3.52897,6.0,14.0,60
3.20856,3.0361,3.52897,6.0,15.0,60
3.20856,3.0361,3.52897,6.0,16.0,60
3.20856,3.0361,3.52897,6.0,17.0,60
0.44925,0.54098,2.15558,6.0,18.0,60
0.44925,0.54098,2.15558,6.0,19.0,60
0.44925,0.54098,2.15558,6.0,20.0,60
0.44925,0.54098,2.15558,6.0,21.0,60
0.44925,0.54098,2.15558,6.0,22.0,60
0.44925,0.54098,2.15558,6.0,23.0,60
0.44925,0.54098,2.15558,6.0,24.0,60
0.44925,0.54098,2.15558,6.0,25.0,60
0.44925,0.54098,2.15558,6.0,26.0,60
0.44925,0.54098,2.15558,6.0,27.0,60
0.44925,0.54098,2.15558,6.0,28.0,60
0.44925,0.54098,2.15558,6.0,29.0,60
0.44925,0.54098,2.15558,6.0,30.0,60
0.3691,1.3971,3.16785,6.0,31.0,60
0.3691,1.3971,3.16785,6.0,32.0,60
0.3691,1.3971,3.16785,6.0,33.0,60
0.3691,1.3971,3.16785,6.0,34.0,60
0.3691,1.3971,3.16785,6.0,35.0,60
0.3691,1.3971,3.16785,6.0,36.0,60
0.3691,1.3971,3.16785,6.0,37.0,60
0.3691,1.3971,3.16785,6.0,38.0,60
0.3691,1.3971,3.16785,6.0,39.0,60
0.3691,1.3971,3.16785,6.0,40.0,60
0.3691,1.3971,3.16785,7.0,0.0,60
0.3691,1.3971,3.16785,7.0,1.0,60
0.3691,1.3971,3.16785,7.0,2.0,60
0.3691,1.3971,3.16785,7.0,3.0,60
0.3691,1.3971,3.16785,7.0,4.0,60
0.3691,1.3971,3.16785,7.0,5.0,60
0.3691,1.3971,3.16785,7.0,6.0,60
3.20856,3.0361,3.52897,7.0,7.0,60
3.20856,3.0361,3.52897,7.0,8.0,60
3.20856,3.0361,3.52897,7.0,9.0,60
3.20856,3.0361,3.52897,7.0,10.0,60
3.20856,3.0361,3.52897,7.0,11.0,60
3.20856,3.0361,3.52897,7.0,12.0,60
3.20856,3.0361,3.52897,7.0,13.0,60
3.20856,3.0361,3.52897,7.0,14.0,60
3.20856,3.0361,3.52897,7.0,15.0,60
3.20856,3.0361,3.52897,7.0,16.0,60
0.44925,0.54098,2.15558,7.0,17.0,60
0.44925,0.54098,2.15558,7.0,18.0,60
0.44925,0.54098,2.15558,7.0,19.0,60
0.44925,0.54098,2.15558,7.0,20.0,60
0.44925,0.54098,2.15558,7.0,21.0,60
0.44925,0.54098,2.15558,7.0,22.0,60
0.44925,0.54098,2.15558,7.0,23.0,60
0.44925,0.54098,2.15558,7.0,24.0,60
0.44925,0.54098,2.15558,7.0,25.0,60
0.44925,0.54098,2.15558,7.0,26.0,60
0.44925,0.54098,2.15558,7.0,27.0,60
0.44925,0.54098,2.15558,7.0,28.0,60
0.44925,0.54098,2.15558,7.0,29.0,60
0.44925,0.54098,2.15558,7.0,30.0,60
0.3691,1.3971,3.16785,7.0,31.0,60
0.3691,1.3971,3.16785,7.0,32.0,60
0.3691,1.3971,3.16785,7.0,33.0,60
0.3691,1.3971,3.16785,7.0,34.0,60
0.3691,1.3971,3.16785,7.0,35.0,60
0.3691,1.3971,3.16785,7.0,36.0,60
0.3691,1.3971,3.16785,7.0,37.0,60
0.3691,1.3971,3.16785,7.0,38.0,60
0.3691,1.3971,3.16785,7.0,39.0,60
0.3691,1.3971,3.16785,7.0,40.0,60
0.3691,1.3971,3.16785,8.0,0.0,60
0.3691,1.3971,3.16785,8.0,1.0,60
0.3691,1.3971,3.16785,8.0,2.0,60
0.3691,1.3971,3.16785,8.0,3.0,60
0.3691,1.3971,3.16785,8.0,4.0,60
0.3691,1.3971,3.16785,8.0,5.0,60
0.3691,1.3971,3.16785,8.0,6.0,60
0.3691,1.3971,3.16785,8.0,7.0,60
3.20856,3.0361,3.52897,8.0,8.0,60
3.20856,3.0361,3.52897,8.0,9.0,60
3.20856,3.0361,3.52897,8.0,10.0,60
3.20856,3.0361,3.52897,8.0,11.0,60
3.20856,3.0361,3.52897,8.0,12.0,60
3.20856,3.0361,3.52897,8.0,13.0,60
3.20856,3.0361,3.52897,8.0,14.0,60
3.20856,3.0361,3.52897,8.0,15.0,60
3.20856,3.0361,3.52897,8.0,16.0,60
0.44925,0.54098,2.15558,8.0,17.0,60
0.44925,0.54098,2.15558,8.0,18.0,60
0.44925,0.54098,2.15558,8.0,19.0,60
0.44925,0.54098,2.15558,8.0,20.0,60
0.44925,0.54098,2.15558,8.0,21.0,60
0.44925,0.54098,2.15558,8.0,22.0,60
0.44925,0.54098,2.15558,8.0,23.0,60
0.44925,0.54098,2.15558,8.0,24.0,60
0.44925,0.54098,2.15558,8.0,25.0,60
0.44925,0.54098,2.15558,8.0,26.0,60
0.44925,0.54098,2.15558,8.0,27.0,60
0.44925,0.54098,2.15558,8.0,28.0,60
0.44925,0.54098,2.15558,8.0,29.0,60
0.44925,0.54098,2.15558,8.0,30.0,60
0.3691,1.3971,3.16785,8.0,31.0,60
0.3691,1.3971,3.16785,8.0,32.0,60
0.3691,1.3971,3.16785,8.0,33.0,60
0.3691,1.3971,3.16785,8.0,34.0,60
0.3691,1.3971,3.16785,8.0,35.0,60
0.3691,1.3971,3.16785,8.0,36.0,60
0.3691,1.3971,3.16785,8.0,37.0,60
0.3691,1.3971,3.16785,8.0,38.0,60
0.3691,1.3971,3.16785,8.0,39.0,60
0.3691,1.3971,3.16785,8.0,40.0,60
0.3691,1.3971,3.16785,9.0,0.0,60
